Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by City, 2017",,,,,,,,,,,
State,City,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
,Columbia,4,0,0,0,4,17,3,7,7,0
,Corbin,16,0,7,4,5,229,58,137,34,1
,Covington,185,2,36,81,66,"1,341",267,936,138,6
,Cumberland,2,0,0,1,1,10,7,3,0,0
,Cynthiana,6,0,3,0,3,150,30,111,9,0
,Danville,25,0,6,2,17,251,70,164,17,1
,Dawson Springs,3,0,1,2,0,73,16,51,6,0
,Dayton,16,1,2,4,9,127,32,84,11,0
,Dry Ridge,3,0,1,0,2,55,1,46,8,0
,Eddyville,0,0,0,0,0,34,6,28,0,0
,Edgewood,1,0,0,0,1,80,10,61,9,0
,Edmonton,1,0,0,0,1,33,15,13,5,0
,Elizabethtown,61,1,11,13,36,469,169,244,56,5
,Elkton,3,0,0,1,2,43,16,26,1,2
,Elsmere,7,0,0,2,5,126,17,96,13,0
,Eminence,1,0,1,0,0,23,8,14,1,0
,Erlanger,22,0,3,9,10,279,49,201,29,0
,Eubank,0,0,0,0,0,0,0,0,0,0
,Falmouth,1,0,0,0,1,25,6,17,2,0
,Ferguson,0,0,0,0,0,8,3,4,1,0
,Flatwoods,4,0,1,0,3,34,14,17,3,0
,Flemingsburg,1,0,0,0,1,38,8,28,2,0
,Florence,52,0,13,19,20,"1,306",111,"1,145",50,1
,Fort Mitchell,6,0,1,3,2,90,23,64,3,0
,Fort Thomas,8,0,2,4,2,116,17,88,11,1
,Fort Wright,3,0,0,1,2,78,7,64,7,0
,Frankfort,100,6,8,34,52,941,195,660,86,4
,Franklin,24,1,6,7,10,224,46,155,23,0
,Fulton,7,0,0,2,5,79,20,56,3,0
,Georgetown,64,0,14,28,22,937,135,723,79,1
,Glasgow,20,0,6,7,7,525,89,394,42,0
,Graymoor-Devondale,1,0,0,1,0,35,11,17,7,0
,Grayson,4,0,0,2,2,96,21,69,6,0
,Greensburg,2,0,1,0,1,31,7,23,1,0
,Greenville,2,0,0,0,2,29,8,16,5,0
,Hardinsburg,1,0,0,0,1,17,6,10,1,0
,Harlan,6,0,1,1,4,30,13,16,1,1
,Harrodsburg,15,0,4,6,5,141,43,74,24,0
,Hartford,0,0,0,0,0,8,0,5,3,0
,Hazard,13,0,1,5,7,198,19,168,11,1
,Henderson,69,2,14,23,30,673,125,479,69,0
,Highland Heights,7,0,1,5,1,58,7,45,6,0
,Hillview,5,0,1,3,1,118,27,76,15,0
,Hodgenville,5,0,1,0,4,38,6,27,5,0
,Hopkinsville,79,1,20,23,35,922,186,689,47,9
,Horse Cave,0,0,0,0,0,2,1,1,0,0
,Hurstbourne Acres,0,0,0,0,0,13,4,8,1,0
,Hyden,0,0,0,0,0,0,0,0,0,0
,Independence,25,0,11,8,6,149,33,102,14,0
,Indian Hills,0,0,0,0,0,23,6,15,2,0
,Irvine,4,0,0,2,2,18,9,5,4,1
,Irvington,0,0,0,0,0,16,5,9,2,0
,Jackson,1,0,0,0,1,88,11,67,10,0
,Jamestown,0,0,0,0,0,13,3,8,2,0
,Jeffersontown,31,0,4,18,9,662,87,491,84,0
,Jenkins,0,0,0,0,0,0,0,0,0,0
,Junction City,0,0,0,0,0,2,2,0,0,0
,La Grange,8,0,1,5,2,148,23,117,8,2
,Lakeside Park-Crestview Hills,0,0,0,0,0,95,10,83,2,0
,Lancaster,8,0,0,1,7,55,16,35,4,0
,Lawrenceburg,9,0,1,2,6,124,31,77,16,0
,Lebanon,12,0,4,2,6,101,37,51,13,0
,Lebanon Junction,0,0,0,0,0,3,0,1,2,0
,Leitchfield,13,0,6,2,5,143,21,107,15,1
,Lewisport,0,0,0,0,0,1,0,1,0,0
,Lexington,"1,131",29,200,547,355,"12,191","2,087","8,831","1,273",41
,London,18,0,3,8,7,363,77,244,42,0
,Louisa,4,0,0,2,2,30,14,12,4,0
,Louisville Metro9,"4,428",109,175,"1,326","2,818","28,211","5,623","18,724","3,864",5
,Loyall,0,0,0,0,0,3,1,2,0,0
,Ludlow,5,0,0,3,2,82,17,58,7,0
,Madisonville,30,2,8,6,14,292,80,194,18,0
,Manchester,1,0,0,0,1,23,4,13,6,0
,Marion,4,0,1,1,2,72,28,40,4,0
,Mayfield,39,1,4,11,23,538,129,388,21,1
,Maysville,17,0,4,2,11,328,56,255,17,3
,Middlesboro,21,0,5,6,10,551,55,472,24,0
,Monticello,9,1,0,2,6,79,36,39,4,0
,Morehead,4,0,4,0,0,150,18,126,6,0
,Morganfield,2,2,0,0,0,15,6,7,2,0
,Morgantown,4,0,1,1,2,29,6,18,5,1
,Mount Sterling,14,1,3,5,5,254,30,210,14,3
,Mount Vernon,1,0,0,1,0,26,14,6,6,0
,Mount Washington,8,2,1,2,3,128,36,75,17,0
,Muldraugh,0,0,0,0,0,16,2,13,1,1
,Munfordville,0,0,0,0,0,16,4,9,3,0
,Murray,26,0,8,9,9,583,110,452,21,0
,Newport,42,1,9,22,10,618,96,471,51,1
,Nicholasville,60,3,11,33,13,955,159,745,51,4
,Oak Grove,34,0,7,15,12,415,80,316,19,0
,Olive Hill,0,0,0,0,0,10,2,8,0,0
,Owensboro,178,3,46,52,77,"2,597",390,"1,964",243,9
,Owenton,0,0,0,0,0,5,1,4,0,0
,Owingsville,1,0,0,0,1,12,4,5,3,0
,Paducah,83,0,21,24,38,"1,379",188,"1,102",89,6
,Paintsville,10,0,3,1,6,33,11,18,4,0
,Paris,18,0,4,6,8,270,60,193,17,1
,Park Hills,2,0,2,0,0,31,11,17,3,0
,Pikeville,5,0,2,1,2,356,53,294,9,0
,Pineville,3,0,1,1,1,43,14,26,3,0
,Pioneer Village,1,0,0,1,0,22,6,11,5,0
,Prestonsburg,11,0,0,1,10,44,17,19,8,0
,Princeton,13,2,4,2,5,242,64,165,13,1
,Prospect,0,0,0,0,0,48,6,40,2,0
,Providence,0,0,0,0,0,27,8,17,2,0
,Raceland,1,0,1,0,0,9,1,6,2,0
,Radcliff,74,2,17,23,32,826,207,571,48,6
,Ravenna,1,0,1,0,0,8,2,5,1,0
,Richmond,92,2,24,30,36,"1,226",216,899,111,3
,Russell,5,0,1,3,1,45,3,41,1,0
,Russell Springs,2,0,1,1,0,57,12,40,5,0
,Russellville,24,0,2,9,13,249,45,194,10,1
,Salyersville,2,0,0,0,2,1,0,1,0,1
,Scottsville,9,0,2,1,6,211,59,139,13,1
,Sebree,0,0,0,0,0,1,0,1,0,0
,Shelbyville,28,0,2,18,8,297,59,212,26,1
,Shepherdsville,25,0,6,10,9,348,65,245,38,1
,Shively,65,2,10,36,17,653,115,410,128,0
,Simpsonville,3,0,0,3,0,98,6,89,3,0
,Smiths Grove,1,0,0,0,1,12,0,12,0,0
,Somerset5,23,1,4,10,8,,,172,25,2
,Southgate,3,0,0,2,1,25,3,15,7,0
,South Shore,0,0,0,0,0,0,0,0,0,0
,Springfield,6,0,3,2,1,12,3,7,2,0
,Stanford,2,0,1,1,0,38,12,14,12,0
,Stanton,3,0,0,0,3,52,18,31,3,0
,St. Matthews,32,1,4,17,10,864,98,709,57,0
,Sturgis,1,0,1,0,0,35,12,21,2,0
,Taylor Mill,3,0,2,0,1,69,13,46,10,0
,Taylorsville,1,0,0,0,1,43,35,8,0,1
,Tompkinsville,1,0,0,0,1,1,1,0,0,0
,Uniontown,4,0,1,0,3,20,6,11,3,0
,Vanceburg,1,0,1,0,0,6,1,4,1,0
,Versailles,27,0,13,5,9,506,124,357,25,0
,Villa Hills,2,0,1,0,1,39,7,30,2,1
,Vine Grove,0,0,0,0,0,67,15,45,7,1
,Warsaw,1,0,0,0,1,11,5,5,1,0
,West Buechel,7,0,0,6,1,81,2,67,12,0
,West Liberty,1,0,0,0,1,11,4,4,3,0
,West Point,3,0,0,0,3,17,4,11,2,2
,Whitesburg,0,0,0,0,0,2,0,1,1,0
,Wilder,3,0,1,1,1,36,2,32,2,0
,Williamsburg,2,0,0,0,2,52,6,41,5,0
,Williamstown,1,0,0,0,1,46,6,35,5,0
,Wilmore,3,0,1,1,1,144,22,113,9,0
,Winchester,41,2,6,17,16,"1,125",186,858,81,7
LOUISIANA,Abbeville8,98,0,4,8,86,,131,,6,0
,Addis,9,0,0,0,9,0,0,0,0,0
,Alexandria,690,17,9,129,535,"4,197",987,"2,953",257,0
,Baker,51,2,4,8,37,366,51,303,12,4
,Ball,8,0,0,1,7,12,7,3,2,0
,Bastrop,158,1,4,31,122,986,357,597,32,6
,Baton Rouge,"2,335",87,100,868,"1,280","12,721","3,226","8,504",991,166
,Berwick,1,0,0,1,0,50,18,32,0,0
,Blanchard,0,0,0,0,0,63,25,34,4,0
,Bogalusa,154,1,12,24,117,619,198,385,36,1
,Bossier City,535,4,48,79,404,"3,283",451,"2,549",283,2
,Breaux Bridge,32,0,0,6,26,634,126,504,4,0
,Broussard,27,0,1,7,19,271,94,165,12,0
,Brusly,0,0,0,0,0,32,4,28,0,0
,Carencro,20,2,1,4,13,211,24,173,14,0
,Church Point,33,1,2,4,26,114,18,88,8,0
,Clinton,5,0,0,1,4,5,2,3,0,0
,Cottonport,0,0,0,0,0,24,10,13,1,0
,Covington,29,1,1,1,26,241,27,205,9,0
,Crowley,213,3,4,12,194,676,227,421,28,0
,Cullen,2,0,0,0,2,4,4,0,0,0
,Denham Springs,38,0,2,9,27,724,139,581,4,0
,De Ridder,20,1,2,3,14,221,69,142,10,0
,Epps,0,0,0,0,0,0,0,0,0,0
,Erath,10,0,2,0,8,44,4,37,3,0
,Eunice,49,1,1,12,35,543,91,431,21,0
,Farmerville,21,0,0,3,18,230,33,196,1,2
,Ferriday,14,0,0,5,9,90,28,62,0,0
,Fisher,0,0,0,0,0,0,0,0,0,0
,Florien,0,0,0,0,0,1,1,0,0,0
,Folsom,3,0,0,1,2,9,0,8,1,0
,Franklin,48,0,2,7,39,348,136,206,6,0
,Franklinton,42,0,3,8,31,174,36,129,9,0
,French Settlement,3,0,1,1,1,4,2,2,0,0
,Georgetown,0,0,0,0,0,0,0,0,0,0
,Golden Meadow,0,0,0,0,0,0,0,0,0,0
,Gonzales,92,0,3,15,74,752,50,665,37,1
,Gramercy6,9,0,0,0,9,124,41,75,8,0
,Greenwood,3,0,0,0,3,87,24,56,7,0
,Gretna,39,0,2,12,25,561,79,450,32,1
,Hammond,308,2,24,64,218,"2,006",655,"1,272",79,2
,Harahan,17,0,0,2,15,143,15,124,4,0
,Haughton,0,0,0,0,0,15,3,8,4,0
,Houma,123,2,20,18,83,"1,245",168,"1,027",50,4
,Ida,0,0,0,0,0,0,0,0,0,0
,Independence,17,0,0,2,15,92,30,54,8,0
,Iowa,10,0,1,2,7,169,59,108,2,0
,Jena,3,0,0,0,3,28,1,27,0,0
,Jennings,21,0,0,0,21,384,63,320,1,1
,Kaplan,17,0,1,6,10,53,11,41,1,0
,Kenner,193,5,20,65,103,"2,104",238,"1,738",128,6
,Kentwood,26,1,2,8,15,177,65,103,9,0
,Kinder,6,0,1,1,4,78,9,67,2,1
,Krotz Springs,2,0,0,0,2,44,10,31,3,1
,Lafayette,721,22,21,175,503,"5,863","1,011","4,555",297,26
,Lake Charles,638,9,45,146,438,"3,524","1,836","1,429",259,0
,Lake Providence,36,0,0,2,34,9,6,3,0,0
,Leesville,59,0,9,4,46,363,49,301,13,1
,Lutcher,15,0,1,0,14,59,19,37,3,0
,Mandeville,14,0,1,2,11,249,36,209,4,0
,Mansfield,21,1,0,0,20,135,33,100,2,0
,Many,20,0,1,0,19,156,16,135,5,0
,Marion,5,0,0,0,5,10,3,5,2,0
,Marksville,65,0,1,6,58,369,77,285,7,0
,Minden,8,0,1,4,3,213,35,170,8,1
,Monroe6,"1,098",13,35,214,836,"4,063",848,"3,011",204,13
,Montgomery,1,1,0,0,0,0,0,0,0,0
,Moreauville,2,0,0,1,1,7,2,3,2,0
,Morgan City,93,0,7,9,77,519,122,368,29,2
,Natchitoches,217,1,0,20,196,"1,182",249,908,25,6
,New Orleans,"4,457",157,575,"1,308","2,417","16,867","2,229","12,107","2,531",41
,Norwood,0,0,0,0,0,0,0,0,0,0
,Oak Grove,9,0,0,2,7,99,23,73,3,3
,Oil City,4,0,0,0,4,14,4,9,1,0
,Olla,2,0,1,0,1,14,10,3,1,0
,Opelousas,299,4,9,39,247,"1,394",512,840,42,9
,Patterson,32,0,0,0,32,166,0,165,1,0
,Pearl River,16,0,2,1,13,52,6,40,6,0
,Pineville,148,0,10,13,125,"1,047",200,805,42,2
,Plaquemine,30,3,1,0,26,198,39,154,5,0
,Pollock,1,0,0,0,1,1,1,0,0,0
,Ponchatoula,83,0,2,15,66,626,140,466,20,1
,Port Allen,32,2,1,2,27,117,21,88,8,0
,Port Vincent,0,0,0,0,0,28,14,10,4,0
,Rayne,64,3,0,1,60,259,33,217,9,0
,Ringgold,0,0,0,0,0,0,0,0,0,0
,Ruston,123,1,3,7,112,720,152,555,13,0
,Scott,6,1,0,1,4,201,49,135,17,0
,Shreveport,"1,850",52,152,498,"1,148","10,813","2,256","7,673",884,91
,Sibley,1,0,0,1,0,10,5,4,1,0
,Slidell,97,3,9,22,63,995,111,841,43,1
,Springhill,6,1,0,0,5,178,10,167,1,0
,St. Gabriel,21,1,1,0,19,81,44,31,6,0
,Sulphur,95,2,7,10,76,838,200,569,69,2
,Tallulah,13,0,0,2,11,19,2,16,1,0
,Thibodaux,61,1,3,14,43,578,89,468,21,1
,Tickfaw,0,0,0,0,0,6,0,6,0,0
,Vidalia,12,0,1,1,10,192,26,163,3,0
,Ville Platte,40,0,0,5,35,489,91,379,19,0
,Walker,52,0,5,4,43,368,48,306,14,0
,Welsh,59,0,2,4,53,105,33,69,3,0
,Westlake,11,0,2,2,7,123,35,88,0,0
,West Monroe,84,0,4,13,67,"1,041",255,737,49,0
,Westwego,22,0,5,1,16,167,17,143,7,1
,Wilson,0,0,0,0,0,0,0,0,0,0
,Youngsville,16,0,4,1,11,169,32,135,2,0
,Zachary,118,4,2,8,104,763,46,693,24,1
,Zwolle,3,0,0,0,3,9,0,9,0,0
MAINE,Ashland,0,0,0,0,0,12,5,4,3,0
,Auburn,40,0,14,10,16,712,55,646,11,4
,Augusta,55,0,18,8,29,557,70,478,9,0
,Baileyville,3,0,1,0,2,13,4,7,2,0
,Bangor,48,1,8,14,25,"1,209",181,"1,004",24,2
,Bar Harbor,5,0,1,1,3,79,7,66,6,0
,Bath,12,0,5,1,6,190,16,167,7,0
,Belfast,3,0,0,0,3,97,30,64,3,0
,Berwick,6,0,1,0,5,54,8,42,4,2
,Biddeford,77,0,16,12,49,725,73,637,15,4
,Boothbay Harbor,1,0,0,0,1,11,1,10,0,0
,Brewer,8,0,0,2,6,262,7,248,7,0
,Bridgton,4,0,3,1,0,105,34,67,4,0
,Brunswick,29,0,11,4,14,314,50,254,10,2
,Bucksport,3,1,0,0,2,55,9,44,2,0
,Buxton,16,0,2,1,13,70,13,54,3,0
,Calais,5,0,1,0,4,80,11,68,1,0
,Camden,1,0,0,0,1,29,4,25,0,0
,Cape Elizabeth,1,0,0,0,1,41,9,31,1,0
,Caribou,7,1,0,3,3,105,16,84,5,0
,Carrabassett Valley,0,0,0,0,0,33,2,27,4,0
,Clinton,7,0,4,1,2,57,11,45,1,0
,Cumberland,0,0,0,0,0,24,5,18,1,0
,Damariscotta,1,0,0,0,1,64,5,59,0,0
,Dexter,1,0,0,0,1,43,6,33,4,0
,Dixfield,0,0,0,0,0,26,5,20,1,0
,Dover-Foxcroft,2,0,1,0,1,96,10,81,5,0
,East Millinocket,1,0,0,0,1,37,4,33,0,0
,Eastport,0,0,0,0,0,5,2,2,1,0
,Eliot,7,0,2,0,5,17,1,14,2,0
,Ellsworth,5,0,0,0,5,271,28,241,2,0
,Fairfield,5,0,1,1,3,152,25,120,7,0
,Falmouth,4,0,2,0,2,122,23,97,2,0
,Farmington,13,0,6,0,7,131,9,117,5,0
,Fort Fairfield,6,0,1,1,4,26,9,17,0,1
,Fort Kent,0,0,0,0,0,33,6,25,2,0
,Freeport,9,0,2,2,5,150,12,137,1,0
,Fryeburg,3,0,1,0,2,23,4,17,2,0
,Gardiner,2,0,0,0,2,85,18,66,1,0
,Gorham,11,0,0,1,10,110,13,93,4,0
,Gouldsboro,0,0,0,0,0,10,3,7,0,0
,Greenville,0,0,0,0,0,16,2,13,1,0
,Hallowell,1,0,1,0,0,29,4,23,2,0
,Hampden,0,0,0,0,0,54,24,27,3,0
,Holden,2,0,0,0,2,22,8,14,0,0
,Houlton,36,0,6,0,30,126,19,101,6,1
,Islesboro,0,0,0,0,0,10,1,8,1,0
,Jay,9,1,0,0,8,46,8,37,1,0
,Kennebunk,7,0,4,0,3,46,6,38,2,0
,Kennebunkport,1,0,0,1,0,20,4,16,0,0
,Kittery6,13,0,5,4,4,157,5,149,3,0
,Lewiston,98,0,24,31,43,788,164,582,42,5
,Limestone,0,0,0,0,0,15,5,9,1,0
,Lincoln,2,0,2,0,0,119,26,91,2,0
,Lisbon,9,0,7,1,1,118,19,93,6,0
,Livermore Falls,4,0,1,1,2,66,13,51,2,0
,Machias,4,0,2,0,2,42,9,33,0,0
,Madawaska,0,0,0,0,0,19,3,16,0,0
,Mechanic Falls,1,0,1,0,0,31,7,20,4,0
,Mexico,7,0,3,0,4,160,24,136,0,0
,Milbridge,0,0,0,0,0,5,3,2,0,0
,Millinocket,3,1,0,0,2,56,6,46,4,0
,Milo,0,0,0,0,0,7,1,6,0,0
,Monmouth,3,0,1,0,2,24,8,14,2,0
,Newport,2,0,1,0,1,55,4,47,4,0
,North Berwick,3,0,1,1,1,21,1,18,2,0
,Norway,5,0,2,0,3,75,8,65,2,0
,Oakland,9,0,4,1,4,69,16,47,6,0
,Ogunquit,1,0,1,0,0,33,3,30,0,0
,Old Orchard Beach,31,0,8,1,22,149,21,121,7,1
,Old Town,9,0,3,2,4,71,9,61,1,0
,Orono,9,0,5,2,2,79,13,59,7,0
,Oxford,0,0,0,0,0,128,7,119,2,0
,Paris,6,0,4,0,2,79,13,52,14,0
,Phippsburg,0,0,0,0,0,23,5,16,2,0
,Pittsfield,1,0,0,1,0,45,7,36,2,0
,Portland,186,2,48,55,81,"1,767",166,"1,504",97,14
,Presque Isle,34,0,13,0,21,192,21,167,4,0
,Rangeley,0,0,0,0,0,14,1,12,1,0
,Richmond,2,1,0,0,1,12,6,5,1,0
,Rockland,8,0,1,0,7,165,14,146,5,0
,Rockport,1,0,0,0,1,13,3,10,0,0
,Rumford,8,0,3,2,3,208,32,171,5,0
,Sabattus,5,0,2,0,3,35,14,21,0,0
,Saco,27,1,14,3,9,334,58,253,23,0
,Sanford,48,0,19,8,21,564,69,483,12,2
,Scarborough,8,0,5,2,1,304,20,276,8,1
,Searsport,0,0,0,0,0,38,9,20,9,0
,Skowhegan,18,0,4,3,11,287,47,229,11,2
,South Berwick,3,0,1,0,2,30,8,21,1,3
,South Portland,56,0,4,13,39,578,78,481,19,1
,Southwest Harbor,0,0,0,0,0,22,3,19,0,0
,Thomaston,1,0,1,0,0,82,6,76,0,0
,Topsham,2,0,0,0,2,130,21,104,5,0
,Van Buren,0,0,0,0,0,15,1,13,1,0
,Veazie,1,0,1,0,0,19,7,10,2,0
,Waldoboro,6,0,0,1,5,52,17,32,3,0
,Washburn,0,0,0,0,0,2,1,1,0,0
,Waterville,32,0,9,10,13,694,64,618,12,2
,Wells,4,0,1,0,3,85,19,63,3,0
,Westbrook,34,0,15,4,15,395,41,344,10,0
,Wilton,6,0,2,0,4,40,6,29,5,0
,Windham,10,0,4,1,5,270,27,236,7,0
,Winslow,10,0,5,1,4,92,12,76,4,1
,Winter Harbor,0,0,0,0,0,0,0,0,0,0
,Winthrop,5,0,0,1,4,64,21,39,4,0
,Wiscasset,1,1,0,0,0,25,8,16,1,0
,Yarmouth,6,0,2,0,4,61,6,52,3,0
,York,9,0,2,0,7,143,40,98,5,2
MARYLAND,Aberdeen,74,0,5,25,44,221,39,176,6,4
,Annapolis,221,7,15,63,136,933,131,762,40,9
,Baltimore,"12,430",342,382,"5,879","5,827","30,220","8,041","17,008","5,171",261
,Baltimore City Sheriff,0,0,0,0,0,0,0,0,0,0
,Bel Air,27,0,1,11,15,265,25,238,2,6
,Berlin,2,0,0,2,0,85,5,80,0,0
,Berwyn Heights,6,0,0,3,3,51,20,27,4,0
,Bladensburg,76,1,3,30,42,315,38,211,66,0
,Boonsboro,2,0,0,0,2,26,5,21,0,0
,Bowie,81,4,3,35,39,759,76,606,77,0
,Brentwood,6,0,0,4,2,19,6,9,4,0
,Brunswick,24,0,0,1,23,115,30,78,7,1
,Cambridge,162,0,4,27,131,853,199,628,26,14
,Capitol Heights,12,0,0,8,4,43,12,25,6,0
,Centreville,9,0,0,0,9,66,8,56,2,2
,Chestertown,15,0,3,5,7,80,29,48,3,2
,Cheverly,16,0,0,9,7,159,25,117,17,1
,Chevy Chase Village,0,0,0,0,0,35,5,28,2,0
,Colmar Manor,11,0,0,6,5,28,2,20,6,1
,Cottage City,1,0,0,0,1,20,3,14,3,0
,Crisfield,2,0,1,0,1,17,4,13,0,2
,Cumberland,150,1,7,41,101,"1,240",248,976,16,7
,Delmar,18,0,1,5,12,89,20,67,2,2
,Denton,5,0,0,2,3,188,19,161,8,1
,District Heights,26,4,0,4,18,67,24,32,11,0
,Easton,38,0,7,10,21,454,78,368,8,3
,Edmonston,4,0,0,1,3,44,6,31,7,0
,Elkton,184,1,7,46,130,977,187,741,49,20
,Fairmount Heights,4,0,0,2,2,21,2,16,3,0
,Federalsburg,17,0,2,0,15,92,17,67,8,1
,Forest Heights,4,0,0,1,3,39,23,12,4,0
,Frederick,468,1,28,87,352,"1,298",148,"1,107",43,
,Frostburg,10,0,0,2,8,174,50,120,4,0
,Fruitland,15,0,0,3,12,259,10,247,2,0
,Glenarden,14,0,0,3,11,72,16,46,10,0
,Greenbelt,144,4,9,79,52,775,98,610,67,0
,Greensboro,3,0,0,1,2,30,9,21,0,3
,Hagerstown,249,8,18,119,104,"1,036",244,668,124,14
,Hancock,3,0,0,0,3,19,3,16,0,1
,Havre de Grace,40,2,7,4,27,192,33,156,3,3
,Hurlock,4,0,0,0,4,118,17,89,12,1
,Hyattsville,90,1,2,61,26,"1,020",79,863,78,0
,Landover Hills,6,0,0,3,3,56,19,33,4,0
,La Plata,40,0,1,17,22,322,43,250,29,1
,Laurel,159,1,9,55,94,930,84,788,58,1
,Lonaconing,0,0,0,0,0,0,0,0,0,2
,Luke,0,0,0,0,0,0,0,0,0,0
,Manchester,0,0,0,0,0,17,3,13,1,0
,New Carrollton,43,1,1,16,25,257,66,158,33,0
,North East,4,0,0,2,2,82,7,71,4,7
,Oakland,3,0,0,0,3,50,6,44,0,3
,Ocean City,107,1,19,32,55,"1,025",113,894,18,2
,Ocean Pines,21,0,2,1,18,82,9,72,1,0
,Oxford,0,0,0,0,0,26,0,1,25,0
,Perryville,6,0,0,1,5,99,15,77,7,4
,Pocomoke City,11,1,1,5,4,223,37,185,1,0
,Princess Anne,33,0,5,9,19,136,42,93,1,2
,Ridgely,1,0,0,0,1,34,9,24,1,
,Rising Sun,11,0,0,0,11,18,5,12,1,2
,Riverdale Park,39,1,1,5,32,153,26,101,26,0
,Rock Hall,4,0,0,0,4,14,4,10,0,0
,Salisbury,326,7,21,94,204,"1,784",273,"1,443",68,16
,Seat Pleasant,42,2,0,15,25,120,38,62,20,2
,Smithsburg,2,0,1,1,0,22,5,17,0,2
,Snow Hill,6,0,0,0,6,35,3,30,2,0
,St. Michaels,3,0,1,1,1,30,1,29,0,0
,Sykesville,31,0,0,0,31,33,20,11,2,3
,Takoma Park,55,0,3,31,21,449,55,361,33,0
,Taneytown,1,0,0,0,1,77,9,67,1,
,Thurmont,8,0,0,0,8,53,4,48,1,0
,Trappe,0,0,0,0,0,1,0,1,0,0
,University Park,8,0,0,8,0,33,17,15,1,0
,Upper Marlboro,1,0,0,0,1,4,1,2,1,0
,Westminster,121,0,0,9,112,562,77,470,15,12
MASSACHUSETTS,Abington,33,0,4,6,23,158,26,120,12,0
,Acton,23,0,1,1,21,170,33,134,3,1
,Acushnet,32,0,4,3,25,101,28,62,11,0
,Adams,20,0,10,1,9,114,46,60,8,0
,Agawam,66,0,3,9,54,519,178,313,28,3
,Amesbury,50,0,6,0,44,120,12,105,3,0
,Amherst,100,0,20,3,77,263,54,203,6,3
,Andover,72,0,5,3,64,287,25,239,23,1
,Arlington,38,0,7,7,24,257,80,162,15,0
,Ashburnham,7,0,1,1,5,50,9,40,1,0
,Ashland,18,0,4,1,13,92,11,73,8,1
,Athol,58,0,6,3,49,202,47,150,5,2
,Attleboro,120,1,17,18,84,593,118,457,18,1
,Auburn,41,0,4,2,35,347,33,301,13,3
,Avon,5,0,0,2,3,60,7,49,4,
,Ayer,23,0,1,3,19,81,20,59,2,0
,Barnstable,197,1,18,13,165,547,79,446,22,4
,Bedford,9,0,1,4,4,59,9,47,3,0
,Belchertown,25,0,5,2,18,91,23,65,3,0
,Bellingham,28,0,4,3,21,263,17,238,8,0
,Belmont,12,0,4,3,5,210,85,116,9,0
,Berkley,12,0,5,2,5,40,9,26,5,0
,Berlin,3,0,0,1,2,45,3,38,4,0
,Bernardston,1,0,1,0,0,28,8,20,0,0
,Beverly,48,0,6,6,36,235,25,202,8,0
,Billerica,40,1,5,8,26,244,52,177,15,2
,Blackstone,13,0,1,1,11,59,11,46,2,0
,Bolton,5,0,0,1,4,36,5,29,2,0
,Boston,"4,570",57,290,"1,404","2,819","14,266","2,109","10,952","1,205",
,Bourne,41,0,4,5,32,262,103,149,10,1
,Boxborough,18,0,3,0,15,24,3,18,3,0
,Boxford,0,0,0,0,0,22,1,21,0,0
,Boylston,2,0,0,0,2,16,1,14,1,0
,Braintree,48,0,2,5,41,665,45,584,36,0
,Brewster,22,0,14,0,8,98,22,76,0,0
,Bridgewater,78,0,11,2,65,155,20,120,15,0
,Brimfield,7,0,0,0,7,18,8,10,0,0
,Brockton,917,7,93,172,645,"1,961",327,"1,250",384,16
,Brookline,45,0,1,12,32,665,91,563,11,1
,Burlington,53,0,7,5,41,485,26,447,12,1
,Cambridge,313,2,17,101,193,"2,031",252,"1,685",94,3
,Canton,90,0,8,8,74,149,22,122,5,0
,Carver,25,0,5,1,19,114,26,86,2,1
,Charlton,19,0,4,2,13,89,10,71,8,1
,Chatham,5,0,2,0,3,90,8,81,1,0
,Chelmsford,45,0,3,5,37,490,48,419,23,1
,Chelsea,315,3,31,107,174,662,97,491,74,2
,Chesterfield,0,0,0,0,0,6,3,3,0,0
,Chicopee,289,3,35,60,191,"1,381",325,928,128,0
,Chilmark,2,0,0,0,2,14,1,13,0,0
,Clinton,6,0,0,1,5,34,5,26,3,0
,Cohasset,6,0,3,0,3,75,20,55,0,0
,Concord,14,0,0,0,14,103,9,93,1,0
,Dalton,15,0,0,0,15,42,17,24,1,0
,Danvers,48,0,4,7,37,498,32,440,26,2
,Dartmouth,73,0,8,11,54,707,87,581,39,5
,Dedham,10,0,2,6,2,427,15,397,15,0
,Deerfield,11,0,0,0,11,52,11,41,0,0
,Dennis,58,0,7,2,49,291,86,191,14,0
,Douglas,14,0,0,0,14,42,12,29,1,0
,Dover,1,0,0,0,1,18,1,15,2,0
,Dracut,41,0,3,5,33,320,63,237,20,0
,Dudley,37,0,10,3,24,56,17,31,8,0
,Dunstable,2,0,0,1,1,20,5,13,2,0
,Duxbury,9,0,2,1,6,102,22,78,2,0
,East Bridgewater,17,0,2,0,15,133,16,112,5,1
,East Brookfield,4,0,2,0,2,14,5,9,0,0
,Eastham,11,0,1,1,9,51,4,46,1,0
