Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,, ,,,,,,,,
"by State by City, 2011",,,,,,,,,,,
State,City,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson1
,Round Lake,38,0,3,6,29,207,40,160,7,1
,Round Lake Beach,43,0,9,8,26,700,103,590,7,4
,Rushville,5,0,0,0,5,48,14,32,2,0
,Salem,3,0,1,0,2,354,72,274,8,0
,Sandwich,5,0,1,0,4,66,9,57,0,0
,Sauk Village,118,2,12,17,87,608,391,185,32,2
,Schaumburg,63,0,14,23,26,"2,358",238,"2,056",64,1
,Schiller Park,15,2,1,7,5,223,32,179,12,1
,Seneca,13,0,0,0,13,46,8,38,0,0
,Shiloh,21,0,4,3,14,182,43,131,8,1
,Shorewood,14,0,2,3,9,177,34,140,3,1
,Sidell,0,0,0,0,0,1,0,1,0,0
,Silvis,24,0,3,1,20,308,47,256,5,0
,Skokie,141,2,13,39,87,"1,723",325,"1,323",75,6
,Sleepy Hollow,0,0,0,0,0,34,5,28,1,0
,South Barrington,2,0,0,0,2,74,19,55,0,0
,South Beloit,13,0,1,3,9,196,34,159,3,6
,South Chicago Heights,11,0,0,5,6,155,27,113,15,2
,South Elgin,17,0,1,1,15,258,33,218,7,1
,South Holland,52,0,4,37,11,521,152,321,48,3
,Sparta,12,0,8,0,4,94,27,66,1,1
,Springfield,"1,278",8,103,258,909,"7,176","1,883","5,076",217,69
,Spring Grove,2,0,0,0,2,60,9,51,0,1
,Spring Valley,9,0,0,0,9,105,21,83,1,0
,St. Charles,33,0,3,9,21,583,71,502,10,6
,Steger,17,0,2,8,7,428,87,319,22,0
,Stone Park,24,0,5,2,17,105,48,51,6,0
,Streamwood,39,1,4,17,17,620,96,511,13,1
,Streator,22,0,0,1,21,425,69,355,1,0
,Summit,47,1,2,20,24,317,95,169,53,13
,Sycamore,16,0,0,2,14,370,51,317,2,2
,Taylorville,27,0,2,2,23,243,56,175,12,0
,Thornton,2,0,0,1,1,39,14,23,2,0
,Tilton,8,0,4,0,4,69,25,40,4,2
,Tinley Park,35,0,12,9,14,901,99,771,31,6
,Tower Lakes,0,0,0,0,0,7,0,7,0,0
,Urbana,197,1,35,74,87,"1,464",382,"1,055",27,9
,Vandalia,13,0,0,0,13,121,21,92,8,0
,Vernon Hills,17,1,4,3,9,588,51,535,2,1
,Villa Park,23,0,4,9,10,486,71,401,14,8
,Virden,9,0,0,0,9,53,12,41,0,3
,Virginia,0,0,0,0,0,17,8,9,0,0
,Warrensburg,3,0,1,1,1,10,2,8,0,0
,Warrenville,13,0,7,3,3,234,38,185,11,0
,Washington Park,140,7,2,52,79,249,83,117,49,1
,Waterloo,0,0,0,0,0,72,2,70,0,0
,Watseka,10,0,5,0,5,176,46,130,0,2
,Wauconda,13,0,1,1,11,180,29,144,7,2
,Westchester,8,0,0,6,2,257,69,178,10,1
,West Chicago,23,0,7,1,15,345,48,272,25,6
,West City,7,0,0,0,7,59,8,51,0,0
,West Dundee,9,0,1,1,7,233,15,216,2,0
,Western Springs,1,0,0,0,1,60,9,50,1,0
,Westmont,25,1,4,11,9,364,58,286,20,5
,Westville,15,0,2,0,13,68,26,37,5,0
,Wheaton,23,0,2,7,14,775,94,674,7,9
,Wheeling,36,0,3,4,29,566,87,444,35,1
,Willowbrook,9,0,0,5,4,162,12,144,6,0
,Willow Springs,2,0,0,1,1,43,7,35,1,0
,Wilmette,9,0,0,4,5,414,81,329,4,1
,Wilmington,5,0,0,0,5,125,8,117,0,0
,Winfield,6,0,0,1,5,59,12,46,1,0
,Winnebago,0,0,0,0,0,51,3,48,0,0
,Winnetka,5,0,1,0,4,156,30,125,1,0
,Winthrop Harbor,12,0,1,1,10,82,23,54,5,0
,Wood Dale,7,0,1,2,4,217,40,169,8,0
,Woodridge,38,2,9,6,21,506,65,417,24,2
,Wood River,27,0,7,3,17,470,89,365,16,1
,Woodstock,26,0,7,7,12,425,43,378,4,2
,Worth,3,0,0,1,2,122,33,77,12,0
,Yorkville,13,0,4,4,5,251,41,206,4,0
INDIANA,Alexandria,5,0,2,2,1,179,20,147,12,0
,Anderson,203,1,30,87,85,"2,949",665,"2,052",232,18
,Angola,2,0,0,1,1,538,33,492,13,0
,Auburn,10,0,4,4,2,434,57,369,8,0
,Aurora,15,0,2,4,9,269,29,239,1,0
,Avon,42,0,2,4,36,612,35,563,14,0
,Batesville,22,0,2,0,20,93,19,71,3,0
,Bedford,17,0,5,4,8,476,46,398,32,4
,Beech Grove,32,0,6,16,10,528,102,379,47,3
,Berne,3,0,1,1,1,69,11,54,4,1
,Bloomington,244,4,18,58,164,"3,072",601,"2,300",171,15
,Bluffton,11,0,5,2,4,476,60,407,9,0
,Boonville,69,0,1,0,68,148,16,121,11,2
,Brazil,21,0,6,0,15,324,47,261,16,0
,Bremen,6,0,0,1,5,73,18,54,1,0
,Brownsburg,27,0,0,1,26,323,59,247,17,0
,Burns Harbor,2,1,0,1,0,30,5,23,2,0
,Carmel,17,1,8,2,6,831,69,729,33,0
,Cedar Lake,10,0,3,6,1,379,65,299,15,2
,Charlestown,5,0,0,1,4,460,106,348,6,1
,Chesterfield,2,1,0,0,1,49,4,42,3,0
,Chesterton,13,0,2,1,10,233,53,168,12,1
,Clarksville,117,0,10,35,72,"1,717",212,"1,417",88,3
,Clinton,10,0,0,0,10,44,12,27,5,0
,Columbia City,10,0,3,0,7,176,27,146,3,0
,Columbus,84,1,7,20,56,"2,597",303,"2,087",207,3
,Corydon,3,0,1,0,2,41,8,32,1,0
,Crawfordsville,30,0,4,2,24,672,146,492,34,2
,Crown Point,17,1,5,7,4,475,50,407,18,1
,Culver,3,0,0,0,3,41,5,35,1,0
,Cumberland,21,2,1,5,13,189,38,142,9,0
,Danville,10,0,0,0,10,138,21,110,7,0
,Decatur,10,0,0,2,8,50,8,36,6,0
,Delphi,10,0,3,1,6,60,10,46,4,0
,Dyer,13,1,3,2,7,337,32,288,17,0
,East Chicago,255,5,16,134,100,"1,941",529,"1,145",267,2
,Ellettsville,35,0,0,0,35,96,33,53,10,0
,Elwood,16,0,5,5,6,532,104,393,35,4
,Evansville,491,3,56,154,278,"5,456","1,074","4,151",231,88
,Fairmount,16,0,0,0,16,48,19,28,1,1
,Fishers,11,0,0,8,3,700,57,626,17,2
,Fort Wayne,785,24,94,310,357,"9,036","1,888","6,768",380,41
,Frankfort,47,1,6,15,25,752,106,612,34,0
,Franklin,59,0,5,12,42,991,99,878,14,0
,Gary,639,30,47,328,234,"5,338","2,618","1,926",794,45
,Gas City,0,0,0,0,0,176,27,147,2,0
,Goshen,36,1,7,17,11,"1,130",212,876,42,5
,Greendale,6,0,0,2,4,126,15,110,1,0
,Greenfield,10,0,3,1,6,381,68,293,20,3
,Greensburg,46,1,1,2,42,237,58,160,19,1
,Greenwood,177,2,0,24,151,"1,777",130,"1,570",77,4
,Griffith,38,3,3,14,18,641,112,479,50,0
,Hagerstown,0,0,0,0,0,40,9,30,1,0
,Hammond,547,9,45,184,309,"3,819","1,032","2,303",484,21
,Hartford City,10,0,0,3,7,213,49,158,6,0
,Hebron,3,0,0,0,3,14,1,12,1,0
,Highland,20,1,1,15,3,885,96,723,66,2
,Hobart,65,0,8,21,36,"1,479",161,"1,225",93,3
,Huntingburg,0,0,0,0,0,82,16,65,1,0
,Huntington,12,0,5,2,5,478,66,395,17,8
,Indianapolis,"9,170",96,435,"3,372","5,267","46,967","15,122","26,588","5,257",463
,Jasper,6,2,1,0,3,147,22,110,15,1
,Jeffersonville,454,3,6,44,401,"2,258",500,"1,588",170,1
,Kendallville,8,0,4,2,2,314,38,266,10,0
,Kokomo,184,3,20,73,88,"2,558",505,"1,954",99,3
,Lafayette,408,3,38,48,319,"3,000",635,"2,190",175,20
,Lake Station,35,0,9,5,21,536,107,392,37,13
,La Porte,43,1,6,10,26,"1,121",193,886,42,9
,Lawrenceburg,13,0,1,7,5,196,16,178,2,0
,Ligonier,0,0,0,0,0,41,12,26,3,0
,Linton,1,0,0,0,1,220,0,220,0,0
,Logansport,21,1,6,4,10,824,79,714,31,4
,Long Beach,1,1,0,0,0,21,0,19,2,1
,Lowell,24,0,0,0,24,183,13,169,1,1
,Marion,62,0,9,45,8,"1,428",259,"1,065",104,10
,Martinsville,17,0,7,1,9,"1,046",159,855,32,2
,Merrillville,112,2,3,36,71,"1,380",151,"1,082",147,2
,Michigan City,96,2,9,41,44,"1,840",297,"1,421",122,8
,Mishawaka,146,3,12,68,63,"2,895",517,"2,234",144,17
,Monticello,2,0,0,1,1,131,18,102,11,1
,Mooresville,9,0,4,1,4,298,41,240,17,0
,Mount Vernon,36,1,3,2,30,599,206,381,12,5
,Muncie,513,1,42,108,362,"2,433",553,"1,701",179,33
,Munster,21,0,1,6,14,447,45,387,15,0
,Nappanee,1,0,0,0,1,271,34,227,10,0
,New Albany,112,1,21,41,49,"2,210",428,"1,642",140,3
,New Castle,17,1,8,5,3,"1,173",231,917,25,2
,New Haven,25,0,5,11,9,401,60,317,24,1
,New Whiteland,11,0,3,0,8,98,12,79,7,0
,Noblesville,60,0,11,20,29,945,132,764,49,12
,North Judson,14,0,1,1,12,82,15,64,3,0
,North Liberty,11,0,1,0,10,27,7,19,1,0
,North Vernon,8,1,2,3,2,280,56,217,7,0
,Oakland City,4,0,0,1,3,72,18,53,1,0
,Peru,21,1,3,6,11,212,57,143,12,2
,Plainfield,43,0,16,6,21,716,75,589,52,2
,Plymouth,3,0,0,1,2,526,70,433,23,1
,Portage,111,1,3,7,100,"1,179",183,939,57,2
,Porter,6,1,2,0,3,99,31,58,10,1
,Portland,0,0,0,0,0,227,18,205,4,1
,Princeton,14,0,1,1,12,336,49,282,5,1
,Rensselaer,24,0,1,1,22,246,40,202,4,0
,Richmond,195,3,36,67,89,"1,897",609,"1,149",139,38
,Rushville,5,0,1,2,2,358,72,275,11,1
,Schererville,13,1,1,7,4,779,50,696,33,0
,Scottsburg,40,0,0,8,32,313,56,254,3,0
,Sellersburg,35,0,0,2,33,138,32,97,9,0
,Seymour,82,1,3,5,73,"1,093",153,881,59,3
,Shelbyville,13,0,1,2,10,801,32,742,27,0
,South Bend,744,9,60,406,269,"6,096","2,335","3,437",324,43
,South Whitley,0,0,0,0,0,39,6,31,2,0
,Speedway,32,0,1,23,8,609,90,472,47,0
,St. John,14,0,0,1,13,173,24,140,9,0
,Tell City,7,0,0,2,5,204,43,155,6,2
,Terre Haute,152,4,17,91,40,"3,942",934,"2,725",283,42
,Tipton,12,0,0,3,9,238,50,184,4,1
,Union City,7,0,1,0,6,113,26,83,4,0
,Valparaiso,32,0,4,5,23,958,144,780,34,3
,Vincennes,30,0,5,7,18,"1,146",254,839,53,1
,Walkerton,3,0,1,1,1,38,10,23,5,1
,Warsaw,8,0,5,3,0,654,91,540,23,4
,Washington,13,1,1,3,8,454,110,330,14,4
,Waterloo,14,0,2,1,11,75,14,54,7,0
,Westfield,21,0,8,4,9,496,57,413,26,0
,West Lafayette,53,0,3,6,44,459,58,383,18,0
,West Terre Haute,12,0,1,0,11,144,58,77,9,0
,Westville,4,0,1,0,3,49,10,34,5,1
,Whitestown,4,0,0,2,2,29,5,17,7,0
,Whiting,8,1,0,4,3,243,79,154,10,0
,Winchester,0,0,0,0,0,332,35,294,3,0
,Winona Lake,4,0,0,0,4,11,2,7,2,1
,Zionsville,7,0,0,0,7,126,21,98,7,0
IOWA,Adel,5,0,0,0,5,60,21,39,0,0
,Albia,7,0,1,0,6,66,9,55,2,1
,Algona,12,0,0,0,12,40,15,24,1,1
,Altoona,19,0,1,4,14,504,66,424,14,2
,Ames,178,0,18,10,150,"1,670",351,"1,263",56,2
,Anamosa,5,0,0,0,5,87,29,58,0,0
,Ankeny,48,0,9,2,37,677,108,550,19,0
,Atlantic,10,0,2,0,8,152,21,124,7,1
,Audubon,0,0,0,0,0,29,11,18,0,0
,Bettendorf,58,0,5,3,50,533,86,430,17,2
,Bloomfield,6,0,1,0,5,10,3,7,0,0
,Boone,66,0,14,1,51,378,159,208,11,6
,Burlington,143,0,11,19,113,"1,122",263,813,46,13
,Carlisle,2,0,0,1,1,29,12,15,2,2
,Carroll,8,0,3,1,4,150,15,124,11,0
,Carter Lake,21,0,4,0,17,135,27,90,18,1
,Cedar Falls,71,1,11,4,55,605,119,453,33,7
,Cedar Rapids,358,2,41,86,229,"4,879","1,099","3,566",214,17
,Centerville,29,0,3,1,25,247,74,164,9,1
,Chariton,14,0,0,0,14,113,25,83,5,0
,Charles City,8,0,0,2,6,96,12,79,5,0
,Cherokee,17,0,1,0,16,88,19,64,5,0
,Clarinda,9,0,2,0,7,153,30,118,5,2
,Clarion,9,0,3,0,6,29,11,17,1,0
,Clear Lake,10,0,2,0,8,237,42,192,3,0
,Clinton,135,0,10,12,113,"1,299",255,997,47,13
,Coralville,31,1,9,5,16,493,50,431,12,7
,Council Bluffs,656,4,69,61,522,"4,251",980,"2,776",495,35
,Cresco,4,0,1,3,0,81,34,41,6,0
,Creston,19,0,0,0,19,159,30,116,13,2
,Davenport2,652,5,53,113,481,"4,908","1,140","3,529",239,24
,Decorah,4,0,0,0,4,117,10,102,5,0
,Denison,4,0,0,1,3,58,6,48,4,0
,Des Moines,"1,069",8,103,216,742,"10,727","2,493","7,400",834,44
,De Witt,12,0,3,0,9,88,32,55,1,0
,Dubuque,135,1,20,32,82,"1,702",416,"1,239",47,34
,Eldora,7,0,0,0,7,27,8,16,3,0
,Eldridge,12,0,1,0,11,68,5,61,2,0
,Emmetsburg,4,0,1,0,3,23,10,12,1,0
,Estherville,10,0,0,0,10,141,30,96,15,0
,Evansdale,11,0,2,0,9,116,39,75,2,3
,Fairfield,20,0,2,1,17,214,61,143,10,6
,Fort Dodge,138,1,14,17,106,"1,135",232,834,69,16
,Fort Madison,61,0,6,1,54,344,106,219,19,2
,Glenwood,19,0,3,1,15,175,77,85,13,1
,Grinnell,13,0,1,0,12,162,41,115,6,1
,Hampton,3,0,0,0,3,18,4,9,5,0
,Hawarden,1,0,0,0,1,21,5,16,0,0
,Hiawatha,0,0,0,0,0,92,25,66,1,0
,Humboldt,1,0,0,0,1,37,9,23,5,0
,Indianola,33,0,13,1,19,283,61,208,14,8
,Iowa City,163,0,24,18,121,"1,580",326,"1,207",47,8
,Iowa Falls,2,0,0,0,2,141,20,118,3,0
,Jefferson,5,0,1,0,4,31,3,28,0,0
,Keokuk,95,1,3,2,89,591,156,401,34,2
,Le Mars,9,0,2,0,7,224,31,177,16,2
,Lisbon,0,0,0,0,0,41,14,27,0,0
,Manchester,26,0,1,0,25,70,13,49,8,0
,Maquoketa,18,0,3,1,14,269,119,136,14,1
,Marengo,6,0,0,0,6,9,4,4,1,0
,Marion,42,0,7,1,34,443,103,319,21,5
,Marshalltown,146,0,0,9,137,972,250,685,37,4
,Mason City,43,1,10,9,23,"1,302",314,939,49,4
,Missouri Valley,6,0,0,0,6,46,5,39,2,0
,Monticello,0,0,0,0,0,44,12,31,1,0
,Mount Pleasant,19,0,1,1,17,229,58,156,15,1
,Mount Vernon,4,0,1,0,3,84,15,68,1,0
,Muscatine,161,0,18,3,140,798,202,554,42,6
,Nevada,45,0,2,1,42,179,34,136,9,6
,North Liberty,30,0,0,1,29,83,19,60,4,2
,Norwalk,14,0,1,0,13,114,15,93,6,0
,Oelwein,25,0,0,0,25,124,25,94,5,1
,Ogden,3,0,0,0,3,41,25,16,0,0
,Orange City,3,0,0,0,3,62,16,46,0,1
,Osage,10,0,0,0,10,24,2,22,0,0
,Osceola,6,0,1,1,4,85,14,66,5,1
,Oskaloosa,25,1,3,3,18,273,59,200,14,4
,Ottumwa,72,2,11,9,50,890,199,651,40,14
,Pella,32,0,4,0,28,172,69,101,2,1
,Perry,27,0,0,0,27,141,21,118,2,2
,Pleasant Hill,11,0,0,1,10,178,78,83,17,0
,Polk City,0,0,0,0,0,27,6,18,3,0
,Prairie City,0,0,0,0,0,35,19,15,1,0
,Red Oak,9,0,3,0,6,241,65,163,13,4
,Sergeant Bluff,11,0,0,0,11,76,8,65,3,2
,Sheldon,5,0,0,0,5,69,25,44,0,0
,Shenandoah,1,0,0,0,1,76,8,63,5,1
,Sioux City,339,1,36,34,268,"3,507",709,"2,635",163,11
,Spencer,2,2,0,0,0,271,109,147,15,1
,Spirit Lake,3,0,0,2,1,181,44,137,0,0
,State Center,4,0,0,0,4,14,4,9,1,0
,Storm Lake,63,0,4,1,58,219,47,170,2,9
,Story City,3,0,0,1,2,44,11,32,1,1
,Tipton,1,0,1,0,0,35,1,33,1,0
,Urbandale,54,0,8,5,41,634,109,501,24,3
,Vinton,8,0,0,0,8,110,18,88,4,1
,Washington,44,1,6,1,36,107,28,72,7,0
,Waterloo,357,3,52,60,242,"2,159",673,"1,401",85,40
,Waukee,16,0,0,0,16,181,58,117,6,0
,Waverly,60,0,2,1,57,192,80,109,3,2
,Webster City,26,0,3,2,21,144,37,102,5,1
,West Burlington,5,0,2,0,3,167,17,149,1,0
,West Des Moines,115,1,26,13,75,"1,824",225,"1,564",35,10
,West Liberty,2,0,1,0,1,41,9,31,1,0
,West Union,3,0,0,0,3,38,16,20,2,0
,Williamsburg,0,0,0,0,0,28,3,23,2,0
,Wilton,6,0,2,0,4,32,10,22,0,0
,Windsor Heights,6,0,1,2,3,288,23,257,8,0
,Winterset,6,0,1,0,5,165,37,125,3,0
KANSAS,Abilene,7,0,1,1,5,234,42,187,5,1
,Andale,0,0,0,0,0,4,1,3,0,0
,Andover,11,0,5,1,5,248,18,221,9,4
,Anthony,2,0,0,0,2,23,9,14,0,0
,Arkansas City,64,1,2,3,58,496,83,393,20,1
,Arma,4,0,0,0,4,22,5,17,0,0
,Atchison,29,0,5,2,22,442,121,303,18,1
,Atwood,1,0,0,0,1,10,2,8,0,0
,Augusta,20,1,6,4,9,307,49,238,20,0
,Baldwin City,4,0,1,0,3,125,9,112,4,1
,Basehor,3,0,0,0,3,45,7,34,4,0
,Baxter Springs,10,0,3,0,7,109,28,66,15,2
,Bel Aire,3,0,1,0,2,49,18,31,0,3
,Beloit,14,0,1,0,13,59,12,46,1,0
,Bonner Springs,22,0,2,2,18,228,28,189,11,4
,Bucklin,0,0,0,0,0,0,0,0,0,0
,Burlington,1,0,0,0,1,29,12,14,3,0
,Bushton,0,0,0,0,0,0,0,0,0,0
,Cawker City,0,0,0,0,0,0,0,0,0,0
,Chanute,37,0,7,0,30,306,121,169,16,2
,Chapman,0,0,0,0,0,15,2,13,0,0
,Chetopa,1,0,1,0,0,8,2,6,0,1
,Clay Center,10,0,2,0,8,96,24,71,1,0
,Clearwater,1,0,0,1,0,29,6,23,0,0
,Coffeyville,86,0,4,8,74,564,142,407,15,2
,Colby,21,0,4,1,16,102,21,76,5,2
,Columbus,1,0,0,0,1,78,16,61,1,1
,Concordia,14,0,4,0,10,165,34,127,4,1
,Council Grove,5,0,0,0,5,34,6,26,2,1
,Derby,54,0,10,4,40,603,99,484,20,5
,Dodge City,115,0,11,17,87,921,215,654,52,2
,Edwardsville,11,0,0,0,11,115,31,69,15,1
,El Dorado,77,0,5,6,66,422,75,324,23,2
,Elkhart,4,0,0,0,4,13,5,7,1,1
,Ellinwood,4,0,1,1,2,39,13,26,0,0
,Ellis,1,0,0,0,1,10,1,8,1,0
,Ellsworth,7,0,2,0,5,52,20,31,1,0
,Elwood,8,0,1,0,7,66,47,18,1,0
,Emporia,77,0,13,4,60,"1,050",173,856,21,2
,Eskridge,0,0,0,0,0,1,0,1,0,0
,Eudora,24,0,3,2,19,175,37,134,4,0
,Fairway,4,0,0,2,2,59,15,36,8,0
,Florence,0,0,0,0,0,3,1,2,0,0
,Fort Scott,24,0,2,0,22,438,144,266,28,4
,Fredonia,11,0,2,0,9,50,14,34,2,0
,Frontenac,6,0,1,0,5,44,8,33,3,0
,Galena,19,0,0,0,19,108,28,73,7,1
,Garden City,97,1,15,10,71,852,118,702,32,11
,Garden Plain,1,0,0,0,1,13,8,5,0,1
,Gardner,51,0,7,1,43,306,38,260,8,8
,Garnett,15,0,3,0,12,111,33,77,1,2
,Geneseo,0,0,0,0,0,0,0,0,0,0
,Girard,12,0,1,0,11,55,14,39,2,1
,Goddard,5,0,2,0,3,83,31,46,6,0
,Grandview Plaza,4,0,0,0,4,54,19,33,2,1
,Great Bend,74,1,13,5,55,752,144,576,32,2
,Halstead,1,0,0,0,1,21,6,15,0,0
,Havensville,0,0,0,0,0,0,0,0,0,0
,Hays,70,0,13,4,53,553,72,455,26,7
,Haysville,32,0,5,0,27,273,55,206,12,4
,Herington,6,0,1,0,5,52,9,39,4,0
,Hesston,1,0,0,0,1,65,18,47,0,0
,Hiawatha,3,0,1,0,2,83,2,79,2,0
,Highland,2,0,0,0,2,22,17,5,0,2
,Hill City,1,0,1,0,0,27,4,22,1,0
,Hillsboro,7,0,0,0,7,48,28,20,0,1
,Hoisington,4,0,0,0,4,51,14,36,1,0
,Holcomb,1,0,0,0,1,37,10,26,1,0
,Holton,8,0,1,1,6,72,13,54,5,1
,Holyrood,0,0,0,0,0,3,2,1,0,3
,Hugoton,2,0,0,0,2,12,0,12,0,0
,Hutchinson,233,1,21,28,183,"2,719",499,"2,094",126,22
,Independence,32,0,2,4,26,423,90,317,16,6
,Inman,3,0,1,0,2,17,4,12,1,0
,Iola,29,0,3,1,25,296,46,239,11,4
,Junction City,139,0,15,26,98,583,121,444,18,14
,Kanopolis,0,0,0,0,0,0,0,0,0,0
,Kansas City2,947,27,95,291,534,"7,883","1,827","4,792","1,264",
,Kechi,0,0,0,0,0,14,1,13,0,0
,Kingman,8,1,2,0,5,55,16,30,9,1
,Kiowa,0,0,0,0,0,0,0,0,0,0
,Lake Quivira,0,0,0,0,0,0,0,0,0,0
,Lansing,31,0,1,1,29,108,41,58,9,1
,Larned,15,0,1,0,14,117,26,88,3,1
,Lawrence,335,0,33,37,265,"3,793",502,"3,098",193,14
,Leavenworth,236,3,11,30,192,"1,060",304,709,47,15
,Leawood,18,0,1,3,14,445,44,386,15,1
,Lebo,0,0,0,0,0,1,0,0,1,0
,Lenexa,68,1,11,12,44,"1,080",112,862,106,8
,Leon,0,0,0,0,0,19,7,11,1,0
,Liberal,59,1,7,5,46,515,135,368,12,1
,Lindsborg,2,0,0,0,2,74,27,45,2,3
,Lyndon,0,0,0,0,0,4,0,3,1,0
,Lyons,7,0,0,0,7,11,4,6,1,0
,Maize,9,0,1,0,8,65,10,55,0,0
,Maple Hill,0,0,0,0,0,0,0,0,0,0
,Marion,4,0,1,0,3,40,12,25,3,0
,Marysville,10,1,3,0,6,61,14,45,2,2
,McLouth,0,0,0,0,0,27,5,22,0,0
,McPherson,33,1,2,3,27,348,140,195,13,2
,Medicine Lodge,5,0,0,0,5,60,18,38,4,1
,Meriden,0,0,0,0,0,2,0,2,0,0
,Merriam,28,0,3,7,18,533,54,400,79,1
,Minneapolis,5,0,3,0,2,37,13,24,0,1
,Mission Hills,0,0,0,0,0,45,5,40,0,0
,Moran,0,0,0,0,0,0,0,0,0,0
,Moundridge,1,0,0,0,1,11,3,7,1,0
,Mulberry,0,0,0,0,0,13,5,7,1,0
,Mulvane,2,0,0,0,2,124,34,84,6,1
,Neodesha,8,0,2,0,6,41,7,33,1,0
,Newton,104,0,9,7,88,412,102,290,20,5
,North Newton,1,0,0,0,1,19,7,12,0,0
,Norton,2,0,0,0,2,49,4,35,10,0
,Oakley,2,0,0,0,2,39,14,23,2,6
,Olathe,226,6,48,20,152,"2,204",259,"1,774",171,19
,Osage City,20,0,2,0,18,71,16,51,4,2
,Osawatomie,16,0,6,0,10,146,20,121,5,0
,Oskaloosa,0,0,0,0,0,0,0,0,0,0
,Oswego,1,0,0,0,1,12,4,7,1,0
,Ottawa,29,0,5,2,22,331,94,229,8,3
,Overbrook,1,0,0,0,1,16,4,11,1,0
,Overland Park,289,2,60,38,189,"4,015",468,"3,237",310,38
,Paola,10,0,1,0,9,214,42,164,8,1
,Park City,25,0,3,0,22,152,25,116,11,0
,Parsons,91,1,7,3,80,546,98,427,21,9
,Peabody,2,0,0,0,2,25,9,16,0,0
,Perry,0,0,0,0,0,3,0,3,0,0
,Prairie Village,24,0,5,6,13,271,64,194,13,5
,Pratt,20,0,2,0,18,210,40,161,9,4
,Rose Hill,1,0,1,0,0,85,8,72,5,1
,Rossville,0,0,0,0,0,6,0,5,1,0
,Russell,21,0,0,0,21,58,15,41,2,3
,Sabetha,5,0,1,0,4,18,8,7,3,0
,Salina,164,3,40,26,95,"2,271",420,"1,776",75,32
,Scott City,6,0,1,0,5,44,6,35,3,2
,Sedgwick,0,0,0,0,0,13,2,9,2,0
,Shawnee,107,1,16,15,75,"1,230",159,942,129,12
,South Hutchinson,6,0,0,0,6,80,5,69,6,0
,Spearville,0,0,0,0,0,18,5,12,1,0
,Spring Hill,12,0,0,1,11,122,15,105,2,4
,Sterling,3,0,1,0,2,48,15,32,1,0
,Tonganoxie,10,0,0,0,10,77,8,64,5,1
,Topeka,698,15,53,235,395,"7,529","1,727","5,213",589,
,Ulysses,11,0,0,0,11,75,26,45,4,1
,Valley Center,9,0,0,1,8,112,24,80,8,1
,Wa Keeney,4,0,1,0,3,9,2,7,0,0
,Wathena,3,0,1,0,2,36,6,29,1,1
,Waverly,0,0,0,0,0,2,0,2,0,0
,Wellington,35,2,6,2,25,414,100,292,22,2
,Wellsville,9,0,0,0,9,35,5,29,1,1
,Westwood,2,0,0,1,1,47,7,36,4,0
,Wichita,"2,950",25,238,490,"2,197","19,456","4,005","13,550","1,901",139
,Winchester,0,0,0,0,0,4,0,4,0,0
,Winfield,45,0,2,1,42,446,89,338,19,2
,Yates Center,6,0,0,0,6,15,8,7,0,1
KENTUCKY,Albany,1,0,0,0,1,10,4,6,0,0
,Alexandria,4,0,1,1,2,212,31,177,4,1
,Anchorage,1,0,0,0,1,56,11,45,0,0
,Ashland,70,0,8,36,26,"1,309",344,920,45,6
,Auburn,0,0,0,0,0,8,4,3,1,1
,Audubon Park,2,0,0,1,1,62,17,43,2,0
,Augusta,0,0,0,0,0,15,4,11,0,0
,Barbourville,5,0,0,3,2,43,11,28,4,0
,Bardstown,27,0,10,8,9,363,101,256,6,0
,Bardwell,0,0,0,0,0,1,1,0,0,0
,Beattyville,0,0,0,0,0,12,1,9,2,0
,Beaver Dam,3,0,1,1,1,40,5,30,5,0
,Bellefonte,0,0,0,0,0,3,1,2,0,0
,Bellevue,8,0,5,2,1,319,70,238,11,0
,Benham,2,0,1,0,1,6,4,2,0,0
,Benton,6,0,4,1,1,104,22,79,3,1
,Berea,24,1,4,16,3,599,176,389,34,2
,Bowling Green,167,3,31,60,73,"2,716",462,"2,127",127,1
,Brandenburg,1,0,0,0,1,40,10,23,7,0
,Brownsville,0,0,0,0,0,15,5,9,1,0
,Burkesville,0,0,0,0,0,9,6,3,0,0
,Burnside,1,0,0,1,0,47,9,35,3,0
,Cadiz,3,0,0,3,0,138,43,92,3,0
,Calhoun,0,0,0,0,0,0,0,0,0,0
,Calvert City,4,0,0,0,4,38,14,22,2,0
,Campbellsville,26,0,6,7,13,381,101,272,8,1
,Carlisle,6,1,0,2,3,44,17,24,3,0
,Carrollton,4,0,1,0,3,83,22,54,7,1
,Catlettsburg,3,0,1,1,1,70,21,47,2,0
,Cave City,6,0,0,1,5,33,10,21,2,0
,Central City,2,0,0,0,2,76,2,72,2,0
,Clarkson,0,0,0,0,0,2,0,2,0,0
,Clay City,3,0,0,0,3,31,11,18,2,0
,Cloverport,0,0,0,0,0,4,0,4,0,0
,Coal Run Village,1,0,0,1,0,17,8,9,0,0
,Cold Spring,3,0,1,2,0,172,13,151,8,1
,Columbia,3,0,2,0,1,40,13,24,3,1
