Table 8,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,
"by State by City, 2014",,,,,,,,,,,
State,City,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
,East Alton,21,0,6,10,5,169,37,127,5,0
,East Dubuque,12,0,0,0,12,18,2,16,0,0
,East Hazel Crest,4,0,1,2,1,53,23,27,3,0
,East Moline,79,0,10,14,55,441,73,346,22,0
,East Peoria,78,2,15,10,51,649,204,433,12,7
,East St. Louis,967,27,62,186,692,"1,095",314,564,217,18
,Edinburg,0,0,0,0,0,5,1,4,0,0
,Edwardsville,19,0,2,1,16,331,56,261,14,0
,Effingham,52,0,7,1,44,409,45,347,17,3
,Eldorado,10,0,0,0,10,132,34,92,6,0
,Elgin,221,3,46,65,107,"1,997",299,"1,614",84,15
,Elizabeth,1,0,0,0,1,10,5,4,1,0
,Elk Grove Village,21,0,1,8,12,508,52,424,32,0
,Elmhurst,20,3,8,6,3,506,63,438,5,3
,Elmwood,1,0,0,0,1,9,7,2,0,0
,Elmwood Park,17,0,2,3,12,328,54,241,33,0
,El Paso,9,0,3,0,6,45,14,26,5,1
,Elwood,7,0,0,0,7,16,0,13,3,0
,Energy,3,0,0,0,3,5,2,3,0,2
,Erie,1,0,0,0,1,7,2,5,0,0
,Eureka,10,0,0,0,10,60,5,52,3,0
,Evanston,151,1,3,54,93,"1,900",334,"1,500",66,5
,Evergreen Park,27,0,0,19,8,569,43,501,25,2
,Fairfield,22,0,1,0,21,118,29,89,0,2
,Fairmont City,5,0,0,0,5,27,11,15,1,0
,Fairmount,0,0,0,0,0,3,0,3,0,0
,Fairview Heights,24,0,2,5,17,677,39,618,20,1
,Farmington,3,0,1,1,1,57,21,34,2,0
,Fayetteville,1,0,1,0,0,8,2,6,0,0
,Findlay,2,0,0,0,2,11,5,6,0,0
,Fisher,4,0,0,0,4,34,13,21,0,0
,Fithian,0,0,0,0,0,0,0,0,0,0
,Flora,3,0,1,0,2,117,9,106,2,0
,Flossmoor,7,0,2,1,4,125,16,98,11,9
,Forest Park,46,0,6,21,19,529,70,428,31,2
,Forest View,1,0,0,1,0,37,4,26,7,0
,Fox River Grove,6,0,1,0,5,54,12,40,2,2
,Frankfort,4,0,1,1,2,148,23,123,2,0
,Franklin Grove,1,0,1,0,0,4,1,3,0,0
,Freeburg,2,0,0,0,2,33,9,20,4,0
,Freeport,48,2,15,17,14,638,111,519,8,4
,Fulton,3,0,0,0,3,34,13,19,2,0
,Galena,1,0,0,0,1,29,5,22,2,0
,Galesburg,126,2,28,20,76,"1,035",257,754,24,2
,Geneseo,7,1,0,0,6,103,12,91,0,0
,Geneva,7,1,2,0,4,177,20,156,1,0
,Genoa,6,0,4,0,2,44,8,36,0,0
,Georgetown,9,0,2,2,5,56,16,36,4,0
,Germantown,0,0,0,0,0,11,2,9,0,0
,Gibson City,5,0,0,1,4,56,31,25,0,0
,Gilberts,4,0,0,0,4,26,1,25,0,0
,Gillespie,7,0,1,0,6,55,8,46,1,0
,Gilman,3,0,0,1,2,44,5,38,1,1
,Glasford,0,0,0,0,0,0,0,0,0,0
,Glen Carbon,15,0,2,0,13,105,16,88,1,1
,Glencoe,3,0,1,0,2,94,22,65,7,0
,Glendale Heights,27,0,6,8,13,510,60,444,6,6
,Glen Ellyn,23,0,4,8,11,340,41,287,12,0
,Glenview,18,0,1,10,7,386,105,276,5,3
,Glenwood,24,0,0,17,7,183,28,143,12,0
,Godfrey,23,0,1,3,19,310,38,265,7,0
,Godley,1,0,0,0,1,6,4,2,0,0
,Goodfield,0,0,0,0,0,71,3,68,0,0
,Grafton,2,0,0,1,1,10,1,9,0,0
,Grandview,9,0,1,0,8,25,12,13,0,0
,Grantfork,0,0,0,0,0,1,0,1,0,0
,Grayslake,26,0,4,4,18,272,34,225,13,5
,Grayville,14,0,0,1,13,22,2,20,0,0
,Greenfield,0,0,0,0,0,8,2,6,0,0
,Greenup,9,0,0,0,9,21,4,16,1,1
,Gurnee,33,0,6,12,15,"1,387",56,"1,311",20,1
,Hampshire,2,0,0,0,2,18,0,17,1,0
,Hampton,1,0,0,0,1,32,11,21,0,0
,Hanover Park,40,1,7,11,21,337,55,269,13,3
,Harrisburg,48,0,3,8,37,161,99,59,3,1
,Hartford,2,0,1,0,1,18,1,17,0,0
,Harvard,10,0,4,0,6,103,20,83,0,1
,Harvey,329,7,15,206,101,"1,210",380,640,190,6
,Havana,13,0,1,1,11,113,19,93,1,0
,Hawthorn Woods,0,0,0,0,0,22,5,15,2,0
,Hazel Crest,72,0,7,51,14,473,121,317,35,0
,Henning,0,0,0,0,0,0,0,0,0,0
,Henry,7,0,0,1,6,30,9,20,1,0
,Herrin,11,0,1,2,8,386,109,267,10,1
,Herscher,1,0,0,0,1,11,0,11,0,0
,Heyworth,4,0,0,2,2,35,7,27,1,1
,Hickory Hills,15,0,4,4,7,170,21,139,10,1
,Highland,20,0,3,2,15,172,7,163,2,0
,Highland Park,18,0,4,3,11,333,46,277,10,1
,Highwood,2,0,0,0,2,35,6,29,0,1
,Hillsboro,18,0,0,0,18,68,20,43,5,1
,Hinckley,2,0,0,0,2,10,1,9,0,0
,Hinsdale,1,0,0,0,1,176,19,152,5,0
,Hodgkins,4,0,1,1,2,335,4,322,9,0
,Hoffman Estates,50,0,9,13,28,558,78,458,22,3
,Homer,1,0,0,0,1,5,1,4,0,0
,Homer Glen,5,0,0,0,5,167,35,128,4,0
,Hometown,7,0,0,2,5,49,3,46,0,0
,Homewood,34,0,1,28,5,573,60,492,21,1
,Hoopeston,28,1,4,0,23,190,47,136,7,4
,Hopedale,0,0,0,0,0,7,3,4,0,0
,Hudson,1,0,0,0,1,14,4,10,0,0
,Huntley,7,1,0,1,5,208,19,186,3,0
,Indian Head Park,2,0,1,0,1,28,5,21,2,0
,Indianola,0,0,0,0,0,0,0,0,0,0
,Irving,1,0,0,0,1,7,2,5,0,0
,Island Lake,2,1,1,0,0,76,26,49,1,0
,Itasca,1,0,0,1,0,124,15,106,3,0
,Jacksonville,30,1,6,3,20,508,95,410,3,1
,Jerome,8,0,0,1,7,39,10,29,0,0
,Jerseyville,12,0,3,1,8,249,41,196,12,6
,Johnsburg,4,0,1,1,2,122,8,110,4,0
,Joliet,495,8,24,115,348,"2,988",642,"2,231",115,47
,Kankakee,221,6,28,93,94,"1,232",292,906,34,15
,Kenilworth,0,0,0,0,0,45,9,35,1,0
,Kewanee,37,0,13,1,23,425,60,360,5,2
,Kildeer,0,0,0,0,0,33,4,29,0,1
,Kincaid,0,0,0,0,0,11,2,9,0,0
,Kingston,0,0,0,0,0,6,0,6,0,0
,Kirkland,1,0,0,0,1,8,2,6,0,0
,Lacon,3,0,1,0,2,16,7,9,0,0
,La Grange,8,0,2,3,3,162,22,138,2,0
,La Grange Park,5,0,0,3,2,82,3,77,2,0
,La Harpe,2,0,0,0,2,20,8,11,1,0
,Lake Forest,2,0,0,0,2,145,19,124,2,0
,Lake in the Hills,17,0,5,6,6,140,18,112,10,3
,Lakemoor,5,0,0,0,5,36,8,28,0,0
,Lake Villa,7,0,2,0,5,68,10,56,2,0
,Lakewood,1,0,0,0,1,5,2,2,1,0
,Lake Zurich,6,0,3,0,3,309,21,288,0,1
,La Salle,9,0,2,2,5,172,29,137,6,1
,Lawrenceville,12,0,0,1,11,58,27,27,4,1
,Lemont,7,0,4,0,3,171,12,142,17,0
,Lenzburg,0,0,0,0,0,0,0,0,0,0
,Le Roy,8,0,2,0,6,32,8,23,1,0
,Libertyville,11,0,1,1,9,265,21,239,5,0
,Lincoln,70,0,4,5,61,412,59,337,16,3
,Lincolnshire,7,0,5,0,2,40,6,34,0,0
,Lincolnwood,8,0,0,3,5,435,57,372,6,1
,Lindenhurst,7,0,2,0,5,53,6,46,1,0
,Lockport,10,1,2,3,4,300,42,251,7,2
,Lombard,31,1,7,7,16,877,71,791,15,1
,Loves Park,73,0,10,13,50,659,109,530,20,2
,Lovington,2,0,1,0,1,9,4,4,1,0
,Lyons,11,0,1,7,3,134,26,96,12,3
,Machesney Park,54,0,12,10,32,386,71,300,15,0
,Macomb,54,1,8,5,40,300,50,244,6,0
,Mahomet,12,0,2,0,10,39,6,32,1,1
,Malta,0,0,0,0,0,1,1,0,0,0
,Manhattan,9,0,1,0,8,43,11,29,3,0
,Maple Park,1,0,0,0,1,1,0,1,0,0
,Marengo,13,0,1,0,12,70,9,59,2,1
,Marine,0,0,0,0,0,17,13,4,0,0
,Maroa,3,0,0,0,3,13,5,8,0,0
,Marseilles,12,0,4,1,7,104,28,71,5,0
,Martinsville,9,0,2,0,7,10,1,8,1,0
,Maryville,7,0,0,1,6,76,20,50,6,0
,Mascoutah,3,0,2,0,1,40,4,36,0,0
,Matteson,56,0,13,26,17,904,69,772,63,1
,Mattoon,68,0,5,10,53,309,74,233,2,6
,Maywood,213,7,16,82,108,680,207,365,108,2
,McCook,4,0,1,0,3,51,7,30,14,0
,McHenry,24,0,9,4,11,332,38,286,8,1
,McLean,0,0,0,0,0,12,8,4,0,0
,Melrose Park,27,0,3,8,16,386,48,303,35,2
,Mendota,10,0,3,2,5,111,39,72,0,0
,Metropolis,40,0,11,4,25,270,39,228,3,2
,Midlothian,29,0,2,21,6,317,132,166,19,2
,Milan,9,0,0,0,9,140,41,96,3,0
,Milledgeville,1,0,1,0,0,8,1,7,0,0
,Minooka,7,0,0,0,7,118,7,110,1,0
,Mokena,8,0,0,3,5,202,22,170,10,7
,Moline,156,0,11,16,129,"1,447",232,"1,196",19,8
,Monmouth,32,0,4,2,26,197,29,158,10,3
,Montgomery,27,1,9,6,11,254,36,209,9,6
,Morris,21,0,4,2,15,324,50,269,5,0
,Morrison,6,0,3,0,3,39,9,29,1,0
,Morton,7,0,0,0,7,165,46,118,1,0
,Morton Grove,25,1,2,5,17,303,81,219,3,0
,Mount Carmel,20,0,1,0,19,153,38,112,3,0
,Mount Carroll,0,0,0,0,0,18,2,16,0,0
,Mount Olive,2,0,0,0,2,4,1,3,0,0
,Mount Prospect,24,0,0,5,19,582,79,480,23,1
,Mount Pulaski,0,0,0,0,0,9,0,9,0,0
,Mount Vernon,192,0,20,21,151,948,194,735,19,8
,Mount Zion,4,0,0,3,1,32,9,23,0,0
,Moweaqua,2,0,0,0,2,3,0,2,1,0
,Mundelein,18,1,3,3,11,256,45,205,6,1
,Naperville,113,1,8,20,84,"1,634",176,"1,421",37,3
,New Athens,0,0,0,0,0,22,3,19,0,0
,New Berlin,1,0,0,1,0,0,0,0,0,0
,New Lenox,24,1,3,4,16,305,36,259,10,0
,Newton,4,0,0,1,3,54,13,39,2,1
,Niles,27,0,0,14,13,700,86,590,24,1
,Nokomis,7,0,0,1,6,34,6,27,1,0
,Normal,102,0,16,25,61,"1,058",156,882,20,5
,Norridge,12,0,0,5,7,464,36,423,5,0
,North Aurora,23,0,4,12,7,221,36,180,5,12
,Northbrook,7,0,4,2,1,356,43,310,3,1
,Northfield,5,0,1,1,3,87,18,68,1,0
,Northlake,8,0,2,1,5,254,25,219,10,0
,North Riverside,15,0,0,8,7,492,23,451,18,0
,Oak Brook,6,0,1,1,4,421,14,401,6,1
,Oakbrook Terrace,4,0,2,0,2,117,10,105,2,0
,Oak Forest,26,0,1,7,18,336,65,255,16,0
,Oak Lawn,90,3,12,34,41,"1,011",121,857,33,6
,Oak Park,103,0,5,77,21,"1,564",401,"1,088",75,4
,Oakwood,3,0,0,0,3,21,7,13,1,0
,Oakwood Hills,0,0,0,0,0,7,0,7,0,0
,Oblong,5,0,0,0,5,27,9,18,0,0
,O'Fallon,41,0,12,3,26,432,68,352,12,5
,Okawville,7,0,0,1,6,13,5,7,1,0
,Olney,34,0,8,1,25,279,43,223,13,1
,Olympia Fields,7,0,2,4,1,119,14,102,3,0
,Oregon,11,0,1,0,10,70,9,60,1,0
,Orion,0,0,0,0,0,7,2,5,0,0
,Orland Hills,3,0,0,2,1,37,3,33,1,0
,Orland Park,22,1,2,4,15,"1,293",27,"1,258",8,1
,Oswego,26,0,11,3,12,498,40,453,5,6
,Ottawa,15,0,1,2,12,487,52,427,8,3
,Palatine,36,3,6,6,21,623,34,569,20,2
,Palestine,9,0,2,0,7,22,3,18,1,0
,Palos Heights,6,0,0,0,6,146,9,131,6,0
,Palos Hills,28,0,3,6,19,105,23,76,6,1
,Palos Park,1,0,0,0,1,30,1,29,0,0
,Pana,10,0,0,1,9,111,28,76,7,0
,Paris,33,0,3,1,29,189,43,137,9,0
,Park Forest,70,0,7,30,33,383,109,255,19,1
,Park Ridge,12,0,1,4,7,451,79,365,7,1
,Patoka,0,0,0,0,0,3,1,2,0,0
,Pawnee,2,0,0,0,2,11,1,10,0,0
,Paxton,13,0,1,0,12,55,12,40,3,0
,Pekin,78,0,19,7,52,723,110,602,11,2
,Peoria,759,7,68,230,454,"4,858","1,224","3,442",192,41
,Peoria Heights,23,0,4,3,16,156,31,122,3,1
,Peotone,4,0,0,3,1,30,4,23,3,2
,Peru,6,0,3,0,3,210,14,194,2,2
,Phoenix,11,0,0,5,6,56,27,27,2,0
,Pierron,0,0,0,0,0,0,0,0,0,0
,Pinckneyville,3,0,0,0,3,15,5,9,1,0
,Pingree Grove,3,0,2,0,1,16,3,13,0,2
,Plainfield,31,0,6,9,16,322,37,273,12,8
,Plano,2,0,0,0,2,113,19,91,3,1
,Pleasant Plains,0,0,0,0,0,1,0,1,0,1
,Polo,5,0,4,0,1,29,6,23,0,1
,Pontiac,44,0,8,3,33,327,43,277,7,4
,Pontoon Beach,5,0,1,1,3,137,17,111,9,0
,Posen,11,1,0,2,8,137,49,75,13,0
,Potomac,0,0,0,0,0,6,2,4,0,0
,Princeton,14,0,2,4,8,120,15,105,0,1
,Prospect Heights,21,0,0,3,18,157,23,121,13,1
,Quincy,190,2,24,13,151,"1,363",234,"1,094",35,3
,Raleigh,0,0,0,0,0,3,1,2,0,0
,Rankin,0,0,0,0,0,0,0,0,0,0
,Rantoul,129,2,14,10,103,297,121,172,4,5
,Raymond,1,0,1,0,0,0,0,0,0,0
,Red Bud,6,0,0,0,6,27,5,22,0,0
,Richmond,3,0,0,0,3,17,1,16,0,0
,Richton Park,49,2,3,26,18,326,82,220,24,0
,Ridge Farm,1,0,0,0,1,7,2,5,0,0
,Riverdale,156,4,9,93,50,415,155,222,38,2
,River Forest,19,0,2,7,10,243,73,168,2,1
,River Grove,9,0,0,3,6,118,19,92,7,0
,Riverside,51,0,0,2,49,106,16,90,0,0
,Riverton,20,0,1,1,18,35,6,27,2,2
,Riverwoods,0,0,0,0,0,22,8,14,0,0
,Robinson,19,0,0,0,19,151,35,109,7,1
,Rochester,2,1,0,0,1,13,4,9,0,1
,Rockdale,5,0,1,0,4,6,4,2,0,0
,Rock Falls,38,0,6,5,27,134,64,69,1,4
,Rockford,"1,847",17,131,412,"1,287","6,401","1,708","4,313",380,82
,Rock Island,157,1,14,22,120,875,157,676,42,5
,Rockton,9,0,1,1,7,124,4,120,0,0
,Rolling Meadows,16,0,4,4,8,246,26,212,8,0
,Roscoe,13,0,0,1,12,95,24,68,3,1
,Roselle,8,0,2,1,5,246,24,212,10,3
,Rosemont,18,0,1,7,10,234,7,215,12,0
,Round Lake,23,0,3,6,14,151,16,134,1,0
,Round Lake Beach,35,1,6,5,23,662,60,592,10,0
,Round Lake Heights,13,0,1,2,10,28,4,24,0,0
,Round Lake Park,2,0,0,1,1,81,16,64,1,0
,Roxana,6,0,1,1,4,62,3,51,8,0
,Ruma,0,0,0,0,0,1,0,1,0,0
,Sandwich,22,0,4,0,18,77,30,47,0,0
,Sauget,10,0,2,3,5,64,2,54,8,0
,Sauk Village,84,3,14,33,34,494,285,184,25,5
,Savanna,1,0,1,0,0,61,18,41,2,0
,Schaumburg,73,0,20,21,32,"1,870",146,"1,648",76,1
,Schiller Park,8,0,1,2,5,262,72,172,18,0
,Seneca,15,0,0,0,15,58,15,43,0,0
,Shannon,0,0,0,0,0,0,0,0,0,0
,Shiloh,24,0,9,4,11,184,42,138,4,1
,Shorewood,9,0,3,2,4,136,22,106,8,2
,Sidell,0,0,0,0,0,0,0,0,0,0
,Silvis,22,0,1,1,20,250,29,218,3,0
,Skokie,170,2,11,46,111,"1,353",259,"1,046",48,7
,Sleepy Hollow,1,0,0,0,1,17,2,15,0,0
,Smithton,2,0,0,0,2,15,1,12,2,0
,South Barrington,0,0,0,0,0,56,6,50,0,0
,South Beloit,8,0,0,4,4,151,31,111,9,0
,South Elgin,26,0,1,2,23,237,27,207,3,0
,South Holland,63,1,12,34,16,380,82,263,35,1
,South Jacksonville,1,0,0,1,0,15,4,11,0,0
,South Roxana,4,0,0,0,4,38,20,16,2,0
,Springfield,"1,248",4,97,258,889,"5,535","1,110","4,300",125,55
,Spring Grove,4,0,3,0,1,41,7,34,0,1
,Spring Valley,5,0,2,0,3,65,10,55,0,1
,Stanford,0,0,0,0,0,6,1,5,0,0
,St. Anne,0,0,0,0,0,28,7,21,0,0
,Staunton,7,0,1,1,5,67,25,42,0,0
,St. Charles,20,0,3,2,15,490,63,420,7,1
,Steger,36,0,5,18,13,422,74,332,16,1
,St. Elmo,3,0,1,0,2,15,2,12,1,0
,Sterling,33,1,11,2,19,548,87,448,13,4
,Stickney,8,0,1,2,5,78,6,68,4,0
,Stockton,6,0,1,0,5,31,3,28,0,2
,Streamwood,41,0,9,8,24,664,67,575,22,0
,Streator,27,0,5,7,15,459,92,362,5,1
,Summit,45,0,2,14,29,272,34,197,41,19
,Swansea,20,1,5,6,8,211,38,157,16,1
,Sycamore,16,0,1,0,15,208,21,182,5,0
,Taylorville,24,0,5,2,17,141,27,104,10,3
,Thomasboro,11,0,0,0,11,16,6,10,0,0
,Thornton,8,0,1,1,6,25,4,20,1,0
,Tilton,8,0,4,0,4,62,16,42,4,0
,Tinley Park,46,0,4,16,26,929,102,801,26,4
,Tolono,7,0,1,0,6,26,11,15,0,0
,Tower Lakes,0,0,0,0,0,4,1,3,0,0
,Troy,13,0,1,1,11,111,28,75,8,0
,Urbana,130,0,18,63,49,"1,467",327,"1,113",27,10
,Valmeyer,2,0,1,0,1,20,2,18,0,0
,Vandalia,19,0,4,0,15,187,34,151,2,0
,Vernon Hills,14,0,4,1,9,517,49,464,4,5
,Vienna,2,0,1,0,1,8,2,6,0,0
,Villa Park,19,0,4,7,8,496,43,425,28,0
,Virden,10,0,0,0,10,45,12,32,1,0
,Virginia,0,0,0,0,0,1,0,1,0,0
,Walnut,2,0,1,0,1,14,3,11,0,0
,Warrensburg,0,0,0,0,0,4,1,3,0,0
,Warrenville,11,0,6,1,4,100,13,83,4,0
,Warsaw,2,1,0,1,0,2,2,0,0,0
,Washington,9,0,2,1,6,166,62,99,5,1
,Washington Park,87,4,0,25,58,142,31,86,25,5
,Watseka,9,0,1,1,7,171,60,109,2,3
,Waukegan,390,6,27,151,206,"2,576",654,"1,837",85,22
,Waverly,0,0,0,0,0,5,1,3,1,0
,Wayne,0,0,0,0,0,7,6,1,0,0
,Westchester,5,0,0,1,4,158,27,123,8,2
,West Chicago,25,0,7,5,13,346,55,273,18,1
,West City,10,0,0,0,10,96,11,85,0,0
,West Dundee,1,0,1,0,0,181,11,168,2,0
,Western Springs,2,0,0,2,0,44,8,35,1,0
,West Frankfort,6,0,0,6,0,155,40,100,15,1
,Westmont,19,0,2,10,7,279,35,235,9,1
,Westville,7,0,1,1,5,49,17,29,3,1
,Wheaton,28,0,5,12,11,370,48,311,11,2
,Wheeling,46,0,8,14,24,498,99,389,10,3
,White Hall,8,0,1,0,7,28,13,14,1,1
,Willowbrook,5,0,0,3,2,120,8,106,6,0
,Willow Springs,6,1,0,2,3,28,5,22,1,0
,Wilmette,10,0,3,2,5,352,57,290,5,0
,Wilmington,7,0,4,1,2,48,14,32,2,0
,Winfield,0,0,0,0,0,42,8,32,2,0
,Winnebago,0,0,0,0,0,46,6,40,0,0
,Winnetka,2,0,1,0,1,101,16,81,4,0
,Winthrop Harbor,10,1,6,0,3,46,5,40,1,0
,Wood Dale,9,0,1,7,1,150,22,119,9,0
,Woodridge,37,1,6,12,18,373,29,334,10,1
,Wood River,28,0,3,10,15,455,77,367,11,1
,Woodstock,34,0,8,5,21,359,55,301,3,1
,Worth,10,0,1,4,5,131,22,101,8,0
,Yorkville,9,0,5,2,2,166,23,136,7,1
,Zion,170,1,20,38,111,817,275,491,51,2
INDIANA,Alexandria,1,0,,1,0,109,20,83,6,0
,Anderson6,190,1,59,73,57,"2,490",553,"1,739",198,43
,Angola,4,0,,2,1,367,18,344,5,
,Auburn,8,0,,0,4,270,30,232,8,1
,Aurora,7,0,,2,4,127,14,113,0,0
,Avon,53,0,1,5,47,617,38,558,21,
,Bargersville,3,0,,0,3,134,18,116,0,
,Bedford,15,0,,2,6,508,49,430,29,2
,Beech Grove,25,0,,18,5,625,87,471,67,2
,Berne,2,0,,1,0,32,4,24,4,0
,Bloomington6,294,1,61,81,151,"2,466",487,"1,854",125,
,Bluffton,1,0,,0,0,349,45,294,10,
,Boonville,39,0,,1,37,165,23,135,7,2
,Bremen,27,0,,0,24,65,10,50,5,
,Brownsburg,44,0,,4,34,360,40,296,24,
,Brownstown,1,0,,0,1,103,13,85,5,
,Carmel6,12,1,2,6,3,816,72,689,55,
,Cedar Lake,20,0,,3,16,222,37,174,11,
,Charlestown,1,0,,1,0,229,31,192,6,
,Clarksville,121,1,,28,86,"1,752",112,"1,596",44,0
,Clinton,16,0,,0,14,101,28,69,4,
,Columbia City,12,0,,1,9,143,17,123,3,0
,Columbus,45,0,,20,13,"2,001",204,"1,630",167,5
,Crawfordsville,202,0,2,5,195,454,65,371,18,
,Cumberland,17,0,,7,9,201,40,126,35,
,Danville,25,0,,1,23,103,22,77,4,2
,Decatur,5,0,,0,4,191,20,168,3,0
,Delphi,5,0,,0,4,60,12,45,3,0
,Dyer,16,0,,6,10,189,14,169,6,0
,East Chicago,249,7,,90,133,"1,222",301,809,112,
,Edinburgh,13,0,0,4,9,431,37,392,2,0
,Elkhart,646,1,,79,546,"2,283",615,"1,484",184,
,Elwood,12,1,,0,10,164,50,106,8,
,Evansville,623,9,,223,322,"6,883","1,087","5,250",546,
,Fairmount,11,0,,0,11,53,23,30,0,0
,Fishers6,18,2,2,5,9,814,50,726,38,4
,Fort Wayne,816,12,104,347,353,"8,352","1,765","6,223",364,45
,Frankfort,20,0,,5,10,821,115,672,34,
,Franklin,75,2,,6,65,952,83,857,12,1
,Garrett,3,0,,0,1,188,36,142,10,0
,Gary,712,37,,278,353,"4,052","1,312","2,268",472,63
,Gas City,17,0,,0,17,168,25,143,0,0
,Goshen,36,0,,15,8,"1,240",240,934,66,1
,Greenfield,29,0,6,2,21,363,55,295,13,0
,Greensburg,31,0,,2,28,76,11,64,1,
,Greenwood,191,0,2,14,175,"1,921",172,"1,641",108,3
,Griffith,42,1,1,10,30,464,69,353,42,0
,Hagerstown,5,0,1,0,4,25,7,16,2,0
,Hammond6,637,10,31,178,418,"2,841",530,"1,993",318,26
,Hartford City,1,0,,1,0,204,36,163,5,
,Highland,15,0,,9,6,617,83,494,40,0
,Hobart,83,0,,7,71,"1,740",126,"1,528",86,8
,Indianapolis7,"10,768",136,573,"3,808","6,251","41,394","12,125","24,090","5,179",271
,Jasper,36,0,,0,36,145,16,120,9,1
,Jeffersonville,267,1,,39,217,"1,441",225,"1,078",138,
,Kendallville,27,0,,0,25,271,23,235,13,0
,Kokomo,162,3,,42,95,"2,074",501,"1,515",58,2
,Lafayette,351,2,43,90,216,"3,426",634,"2,542",250,9
,Lake Station,22,0,,9,10,616,74,491,51,3
,La Porte,34,2,1,14,17,747,121,600,26,3
,Lawrenceburg,11,1,,3,6,138,18,118,2,
,Ligonier,1,0,,0,1,12,2,7,3,
,Linton,3,0,0,1,2,207,29,168,10,1
,Logansport,16,0,,3,4,829,94,693,42,0
,Lowell,44,0,,0,44,82,9,70,3,
,Marion,88,1,,37,39,"1,253",193,976,84,0
,Merrillville,119,4,,41,69,"1,230",183,956,91,
,Michigan City,100,3,,57,34,"1,382",167,"1,146",69,6
,Mishawaka,106,0,,37,46,"2,352",244,"1,983",125,
,Mooresville,5,0,0,1,4,318,40,250,28,
,Mount Vernon,0,0,,0,0,337,113,211,13,
,Muncie6,277,2,37,101,137,"2,899",490,"2,232",177,9
,Munster,21,0,,11,10,386,24,355,7,
,Nappanee,5,0,,2,0,115,16,92,7,0
,New Albany,90,3,,42,40,"2,075",320,"1,575",180,
,New Haven6,16,0,3,6,7,331,41,260,30,0
,New Whiteland,2,0,0,0,2,38,9,27,2,0
,North Judson,7,0,,0,7,55,10,41,4,0
,North Liberty,1,0,,0,0,6,1,5,0,0
,North Manchester,4,0,,2,2,76,7,67,2,
,Peru,35,0,,3,26,356,62,280,14,0
,Plainfield,55,0,7,8,40,892,77,765,50,
,Plymouth,14,1,5,1,7,214,23,179,12,0
,Portage,60,2,6,7,45,786,99,631,56,
,Porter6,4,0,0,0,4,70,8,58,4,0
,Portland,8,0,1,0,7,167,9,149,9,
,Rensselaer,20,0,,2,15,247,18,229,0,0
,Rushville,5,0,,1,3,281,59,216,6,
,Scottsburg,37,0,,6,26,258,34,210,14,0
,Sellersburg,7,0,,2,4,114,16,93,5,0
,Seymour,64,0,,8,49,951,131,751,69,5
,Shelbyville,193,1,,4,181,559,78,417,64,
,South Bend,691,17,98,341,235,"4,744","1,222","3,190",332,30
,South Whitley,0,0,,0,0,22,3,18,1,1
,Speedway,39,2,,24,11,620,81,483,56,
,St. John,5,0,,0,5,101,26,72,3,0
,Tell City,1,0,0,0,1,140,19,118,3,0
,Terre Haute,198,4,30,51,113,"3,012",758,"1,989",265,48
,Tipton,8,0,,3,5,94,18,72,4,2
,Union City,7,0,,0,6,91,15,74,2,
,Valparaiso,35,1,,7,27,619,55,526,38,
,Walkerton,1,0,,0,1,16,6,7,3,1
,Warsaw,54,0,,10,38,449,55,371,23,3
,Washington,54,0,,1,33,624,113,457,54,
,Waterloo,12,0,2,0,10,68,13,44,11,
,Westfield,36,0,3,4,29,421,31,382,8,3
,West Lafayette,32,0,,8,22,349,44,286,19,0
,Whitestown,22,0,,0,22,119,10,103,6,
,Whiting,2,0,,1,1,152,14,125,13,
,Winchester,0,0,,0,0,230,43,179,8,1
,Winona Lake,2,0,0,0,2,53,11,42,0,0
,Zionsville,6,0,,0,6,149,6,131,12,
IOWA,Adel,16,0,0,0,16,91,46,42,3,0
,Albia,1,0,0,0,1,38,4,32,2,0
,Algona,14,0,0,0,14,35,11,19,5,0
,Altoona,19,0,2,3,14,476,60,403,13,1
,Ames,75,0,23,15,37,"1,117",191,901,25,7
,Anamosa,7,0,1,0,6,78,16,60,2,1
,Ankeny,58,0,11,0,47,682,108,535,39,5
,Atlantic,17,0,2,0,15,98,16,81,1,1
,Audubon,2,0,0,0,2,32,14,17,1,0
,Bettendorf,52,0,9,3,40,461,76,374,11,5
,Bloomfield,6,0,0,0,6,10,5,5,0,0
,Boone,63,0,11,1,51,240,92,139,9,0
,Buffalo,8,0,0,0,8,11,3,7,1,0
,Burlington,162,2,16,29,115,871,201,626,44,9
,Camanche,5,0,0,0,5,49,10,37,2,1
,Carlisle,21,0,3,0,18,50,22,23,5,0
,Carroll,13,0,0,0,13,94,23,67,4,0
,Carter Lake,31,0,3,3,25,146,24,102,20,0
,Cedar Falls,50,1,12,7,30,786,115,646,25,1
,Cedar Rapids,385,8,41,128,208,"4,953",933,"3,740",280,10
,Centerville,16,0,3,0,13,225,69,145,11,4
,Chariton,10,0,2,0,8,126,28,88,10,0
,Charles City,19,0,5,0,14,114,13,98,3,0
,Cherokee,15,0,1,0,14,61,14,44,3,0
